                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5947,                 9.2173,                 5.7837,                 4.2774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4634,                 5.2213,                 5.3546,                 4.1586,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.6433,                 8.2919,                 5.7628,                 4.2635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4635,                 5.2218,                  5.352,                 4.1582,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.6324,                 8.1405,                 5.7462,                 4.2798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4634,                  5.222,                 5.3513,                 4.1578,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.6485,                 8.6028,                  5.788,                 4.2724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4631,                 5.2238,                 5.3501,                 4.1571,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                  3.536,                 6.4804,                 5.7616,                 4.2309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4625,                  5.225,                 5.3487,                  4.156,             4.4572e-05,             4.4572e-05,             4.4572e-05
