                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5719,                 15.013,                 5.7497,                  4.304,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4636,                 5.2245,                 5.3551,                 4.1593,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.6419,                 15.234,                  5.744,                 4.2767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4634,                 5.2247,                 5.3537,                 4.1602,             1.7673e-05,             1.7673e-05,             1.7673e-05
